dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
UNSW-2018,6,2048,0.1,0.9866666666666667,0.9241291027449281,0.9862394957983194,55.69997906219214
UNSW-2018,6,2048,0.5,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,2048,1.0,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,2048,2.0,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,2048,5.0,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,2048,10.0,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,2048,50.0,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,2048,100.0,0.9922222222222222,0.9562011741440797,0.9920815998806273,55.69997906219214
UNSW-2018,6,3072,0.01,0.9811111111111112,0.8913345335234202,0.9805600803950094,54.04902682104148
UNSW-2018,6,3072,0.1,0.9844444444444445,0.911230871925456,0.9841209073767213,54.04902682104148
UNSW-2018,6,3072,0.5,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,3072,1.0,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,3072,2.0,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,3072,5.0,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,3072,10.0,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,3072,50.0,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,3072,100.0,0.9911111111111112,0.9501985556285983,0.9910666537358511,54.04902682104148
UNSW-2018,6,4096,0.01,0.98,0.8846517369293827,0.9789987789987791,53.419917615130544
UNSW-2018,6,4096,0.1,0.9877777777777778,0.9306003720046281,0.9874212284908885,53.419917615130544
UNSW-2018,6,4096,0.5,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,4096,1.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,4096,2.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,4096,5.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,4096,10.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,4096,50.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,4096,100.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.419917615130544
UNSW-2018,6,5120,0.01,0.98,0.8846517369293827,0.9789987789987791,53.72584899305366
